age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
30.0,Private For-Profit,Grade 8,Married,Cooks,Brazil,Husband/wife,-10.0,male,Black,False
25.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Unknown,Mexico,Unmarried partner,40.0,Female,Other Race,False
59.0,Self-Employed (Not Inc.),Associate's degree,Married,"Securities, Commodities, And Financial Services Sales Agents",Canada,Husband/wife,50.0,Male,Black,False
61.0,Private For-Profit,Bachelor's degree,Married,Chief Executives And Legislators,MISSOURI,Reference person,45.0,Male,White,True
65.0,State Government,Associate's degree,Married,"Business Operations Specialists, All Other",New York,Reference person,29.0,F,White,False
72.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Never married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",New York,Reference person,7.0,Female,White,False
,Local Government,Bachelor's degree,Married,Firefighters,New York,Husband/wife,36.0,m,White,True
24.0,Private For-Profit,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Never married,First-Line Supervisors Of Office And Administrative Support Workers,Washington,reference person,40.0,Female,Two or More Race,False
38.0,,GED or alternative credential,Married,First-Line Supervisors Of Production And Operating Workers,MAINE,Husband/wife,48.0,Male,White,True
59.0,Private For-Profit,Regular high school diploma,Separated,Painters and Paperhangers,California,father or mother,40.0,Male,White,False
19.0,Private For-Profit,Regular high school diploma,Married,Cashiers,Minnesota,Reference person,35.0,Female,White,False
62.0,Self-Employed (Not Inc.),Master's degree,Married,Artists And Related Workers,Texas,Husband/wife,10.0,Female,White,False
51.0,Private For-Profit,Master's degree,Married,Industrial Production Managers,Minnesota,Reference person,45.0,Male,White,True
66.0,Self-Employed (Not Inc.),Regular high school diploma,Never married,Driver/Sales Workers And Truck Drivers,maine,reference person,60.0,M,White,True
65.0,Private For-Profit,Bachelor's degree,Divorced,Managers,Maine,reference person,50.0,Male,White,True
56.0,Private For-Profit,"One or more years of college credit, no degree",Divorced,Driver/Sales Workers And Truck Drivers,Illinois,Reference person,70.0,Male,Black,True
32.0,Private For-Profit,Regular high school diploma,Never married,Industrial Truck And Tractor Operators,Mississippi,Biological son or daughter,30.0,Male,White,False
64.0,Self-Employed (Inc.),Professional degree beyond a bachelor's degree,Married,Surgeons,Puerto Rico,Reference person,20.0,Male,White,False
999.0,Self-Employed (Not Inc.),"Some college, but less than 1 year",Married,Carpenters,Ohio,Reference person,35.0,Male,White,False
17.0,Private For-Profit,"12th grade, no diploma",Never married,Stockers And Order Fillers,Pennsylvania,Biological son or daughter,25.0,Male,White,False
30.0,,Master's degree,Married,Management Analysts,Massachusetts,Reference person,38.0,Male,White,False
61.0,Private For-Profit,Grade 11,Divorced,Construction Laborers,New York,Reference person,40.0,Male,White,False
31.0,Private For-Profit,master's degree,Separated,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",New York,Roomer or boarder,40.0,Female,Black,True
62.0,Private For-Profit,GED or alternative credential,Married,First-Line Supervisors Of Office And Administrative Support Workers,PENNSYLVANIA,Reference person,40.0,Female,White,False
22.0,Private For-Profit,"One or more years of college credit, no degree",Married,Receptionists And Information Clerks,GEORGIA,grandchild,,Female,White,False
35.0,State Government,Bachelor's degree,Never married,"Child, Family, And School Social Workers",Texas,Biological son or daughter,50.0,Female,White,False
22.0,Private For-Profit,Bachelor's degree,Never married,,Maryland,Biological son or daughter,30.0,Female,White,False
50.0,Private For-Profit,Regular high school diploma,separated,,New York,Unmarried partner,40.0,Male,White,False
72.0,Private For-Profit,Bachelor's degree,Married,Tool And Die Makers,Indiana,Reference person,,Male,White,True
33.0,Self-Employed (Not Inc.),"12th grade, no diploma",Married,Maids And Housekeeping Cleaners,texas,Husband/wife,15.0,F,White,False
50.0,State Government,GED or alternative credential,Married,Janitors And Building Cleaners,SOUTH CAROLINA,Reference person,40.0,Female,Black,False
45.0,State Government,master's degree,Divorced,Education And Childcare Administrators,North Carolina,Reference person,40.0,Female,White,True
39.0,Private For-Profit,GED or alternative credential,Married,"Miscellaneous Production Workers, Including Equipment Operators And Tenders",wisconsin,Reference person,40.0,Male,White,False
19.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Never married,Fast Food And Counter Workers,texas,Other nonrelative,15.0,Female,White,False
56.0,Private For-Profit,Bachelor's degree,Married,Chief Executives And Legislators,Japan,Reference person,45.0,Male,Asian,True
60.0,Local Government,"One or more years of college credit, no degree",Widowed,"Bus Drivers, School",South Carolina,Reference person,20.0,Female,wht,False
37.0,Private For-Profit,master's degree,Married,Managers,Kuwait,Reference person,200.0,Male,Asian,True
63.0,Private For-Profit,Regular high school diploma,Married,Drafters,California,Reference person,40.0,Male,White,True
35.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Married,Software Developers,california,Reference person,40.0,Male,White,True
22.0,Private For-Profit,"one or more years of college credit, no degree",Never married,"Plumbers, Pipefitters, And Steamfitters",Alaska,Reference person,50.0,Male,Two or More Race,True
55.0,Private For-Profit,Bachelor's degree,Married,Software Developers,UZBEKISTAN,Husband/wife,44.0,Female,Asian,True
39.0,Private For-Profit,Bachelor's degree,Married,Elementary And Middle School Teachers,Texas,Husband/wife,40.0,Female,White,True
62.0,Private Non-Profit,Regular high school diploma,Divorced,Receptionists And Information Clerks,Alabama,Reference person,40.0,Female,White,False
19.0,Private For-Profit,"12th grade, no diploma",Never married,Retail Salespersons,Florida,Stepson or stepdaughter,20.0,M,White,False
49.0,Private For-Profit,GED or alternative credential,Divorced,Landscaping And Groundskeeping Workers,WISCONSIN,Reference person,40.0,M,White,False
,Local Government,"One or more years of college credit, no degree",married,Social And Community Service Managers,Virginia/VA,Husband/wife,28.0,Female,blk,False
57.0,Private Non-Profit,MASTER'S DEGREE,Married,"Directors, Religious Activities And Education",California,Husband/wife,40.0,fem,White,False
45.0,Private For-Profit,master's degree,Married,,Ohio,Husband/wife,50.0,Male,White,True
18.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Fast Food And Counter Workers,Pennsylvania,Noninstitutionalized group quarters population,200.0,fem,White,False
58.0,Private For-Profit,Regular high school diploma,Never married,"Extruding, Forming, Pressing, And Compacting Machine Setters, Operators, And Tenders",Iowa,Reference person,40.0,Male,White,False
,Private For-Profit,Regular high school diploma,Never married,Agricultural Workers,Arizona,Biological son or daughter,50.0,Male,White,True
34.0,Private For-Profit,Bachelor's degree,Married,Human Resources Workers,Virginia/VA,Reference person,40.0,Female,White,True
46.0,Private Non-Profit,GED or alternative credential,Married,Preschool And Kindergarten Teachers,Germany,Husband/wife,,Female,White,False
72.0,Self-Employed (Not Inc.),regular high school diploma,Widowed,Maids And Housekeeping Cleaners,Canada,reference person,5.0,Male,White,False
,Without Pay,regular high school diploma,Divorced,Construction Laborers,California,Biological son or daughter,40.0,Male,White,False
33.0,Private For-Profit,REGULAR HIGH SCHOOL DIPLOMA,Never married,"Carpet, Floor, And Tile Installers And Finishers",Mexico,Housemate or roommate,25.0,Male,Other Race,False
47.0,Private For-Profit,ASSOCIATE'S DEGREE,Married,,New York,Reference person,40.0,Male,White,True
49.0,Private For-Profit,Regular high school diploma,DIVORCED,Marketing Managers,pennsylvania,Reference person,40.0,Female,White,False
,Federal Government,Regular high school diploma,Married,Machine Feeders And Offbearers,Haiti,Reference person,40.0,fem,Black,True
55.0,Private For-Profit,Regular high school diploma,Divorced,Personal Care Aides,Idaho,Reference person,40.0,Female,White,False
26.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Electricians,Massachusetts,Other relative,40.0,Male,White,False
24.0,Private For-Profit,BACHELOR'S DEGREE,Never married,"Sales Representatives Of Services, Except Advertising, Insurance, Financial Services, And Travel",Illinois,Biological son or daughter,40.0,Male,White,False
24.0,Private For-Profit,ged or alternative credential,Never married,Cashiers,Missouri,Biological son or daughter,30.0,Male,White,False
24.0,Federal Government,Bachelor's degree,Never married,"Life, Physical, And Social Science Technicians",Florida,Housemate or roommate,50.0,Male,White,False
63.0,Private Non-Profit,Regular high school diploma,Married,"Bookkeeping, Accounting, And Auditing Clerks",Texas,Husband/wife,40.0,Female,White,False
41.0,Private For-Profit,regular high school diploma,Never married,Graphic Designers,Michigan,Biological son or daughter,40.0,fem,Black,False
56.0,Private For-Profit,"One or more years of college credit, no degree",DIVORCED,"Purchasing Agents, Except Wholesale, Retail, And Farm Products",California,Biological son or daughter,50.0,Female,White,True
26.0,Private For-Profit,Bachelor's degree,Never married,Accountants And Auditors,New York,Stepson or stepdaughter,40.0,Male,Black,False
64.0,State Government,Professional degree beyond a bachelor's degree,Married,Postsecondary Teachers,New York,Reference person,25.0,Female,White,False
56.0,,PROFESSIONAL DEGREE BEYOND A BACHELOR'S DEGREE,Married,Elementary And Middle School Teachers,Georgia,Reference person,18.0,Female,Black,True
35.0,Private For-Profit,Bachelor's degree,Divorced,Logisticians,Colombia,Reference person,38.0,Female,White,True
62.0,Local Government,regular high school diploma,Married,"Maintenance And Repair Workers, General",Ireland,husband/wife,,Male,White,False
32.0,,Master's degree,Married,"Nurse Practitioners, And Nurse Midwives",South Carolina,Husband/wife,40.0,Female,wht,True
48.0,State Government,"One or more years of college credit, no degree",Never married,Operations Research Analysts,minnesota,reference person,35.0,Female,White,False
40.0,Private For-Profit,Grade 10,Separated,Sewing Machine Operators,North Carolina,Reference person,40.0,Female,White,False
63.0,Private For-Profit,"SOME COLLEGE, BUT LESS THAN 1 YEAR",Divorced,,Alabama,Unmarried partner,24.0,Female,White,False
25.0,Private For-Profit,"Some college, but less than 1 year",Married,Waiters And Waitresses,Serbia,Husband/wife,80.0,Male,White,False
54.0,Private Non-Profit,Associate's degree,Married,Childcare Workers,Delaware,Husband/wife,35.0,Female,White,False
32.0,Federal Government,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Married,Accountants And Auditors,Florida,Reference person,26.0,Male,White,False
32.0,State Government,Bachelor's degree,Married,Unknown,California,Reference person,40.0,Male,Black,False
23.0,Private For-Profit,"Some college, but less than 1 year",Never married,Food Preparation Workers,Missouri,Unmarried partner,40.0,Female,Black,False
51.0,Private For-Profit,Bachelor's degree,Married,Registered Nurses,Illinois,husband/wife,40.0,Female,White,True
53.0,,Regular high school diploma,Married,Carpenters,Brazil,Husband/wife,40.0,male,Other Race,False
32.0,Private Non-Profit,Bachelor's degree,Married,Elementary And Middle School Teachers,Missouri,Husband/wife,45.0,Female,White,False
39.0,Private For-Profit,"One or more years of college credit, no degree",Never married,"Secretaries And Administrative Assistants, Except Legal, Medial, And Executive",Tennessee,Reference person,6.0,Female,White,False
40.0,Self-Employed (Inc.),Master's degree,Married,Project Management Specialists,France,Reference person,30.0,Female,White,True
24.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Waiters And Waitresses,TEXAS,Biological son or daughter,40.0,Female,White,False
36.0,Federal Government,"ONE OR MORE YEARS OF COLLEGE CREDIT, NO DEGREE",Divorced,Computer Systems Analysts,Utah,Reference person,40.0,Female,White,False
45.0,Private For-Profit,Bachelor's degree,Married,"Sales Representatives, Wholesale And Manufacturing",Texas,Husband/wife,45.0,Male,White,True
35.0,Private For-Profit,GED or alternative credential,Never married,Construction Laborers,Texas,Institutionalized group quarters population,50.0,Male,Black,False
41.0,Local Government,bachelor's degree,Married,Elementary And Middle School Teachers,Nebraska,Husband/wife,45.0,Male,wht,False
37.0,State Government,Bachelor's degree,Never married,Computer Support Specialists,Wyoming,Reference person,40.0,Female,White,True
30.0,Private Non-Profit,Bachelor's degree,Married,Secondary School Teachers,Michigan,Husband/wife,,Female,White,False
38.0,Local Government,Bachelor's degree,Divorced,Elementary And Middle School Teachers,Texas,Biological son or daughter,40.0,Male,White,True
